,euctr_id,euctr_results_inc,euctr_results_date,nct_id,ctgov_results_inc,ctgov_results_date,journal_results_inc,journal_pub_date,min_date,max_date,results_counts,earliest_results,Unnamed: 0,eudract_number,final_date,inferred,euctr_days,ctg_days,pub_days
83,2005-000841-12,1,2015-05-06,NCT00153075,0,,0,,2015-05-06,2015-05-06,1,EUCTR,6913,2005-000841-12,2005-12-07,0,3437.0,5483.0,5483.0
84,2013-003873-85,0,,NCT02171910,0,,1,2020-01-28,2020-01-28,2020-01-28,1,Journal,15334,2013-003873-85,2018-04-11,1,975.0,975.0,657.0
85,2014-004972-49,1,2018-07-15,NCT02763644,1,2019-04-17,0,,2018-07-15,2019-04-17,2,EUCTR,12355,2014-004972-49,2017-06-30,0,380.0,656.0,1260.0
86,2012-002806-31,1,2015-07-26,NCT01788046,1,2017-03-27,1,2017-01-10,2015-07-26,2017-03-27,3,EUCTR,14285,2012-002806-31,2014-05-12,0,440.0,1050.0,974.0
87,2012-003110-14,1,2016-02-26,NCT01717300,0,,1,2016-11-01,2016-02-26,2016-11-01,2,EUCTR,12051,2012-003110-14,2014-10-29,0,485.0,2235.0,734.0
88,2011-006121-26,1,2015-08-13,NCT01582815,0,,1,2016-01-20,2015-08-13,2016-01-20,2,EUCTR,15995,2011-006121-26,2013-11-25,0,626.0,2573.0,786.0
89,2010-021560-15,1,2016-12-08,NCT01336023,1,2017-06-02,1,2014-09-01,2014-09-01,2017-06-02,3,Journal,23102,2010-021560-15,2012-11-22,0,1477.0,1653.0,648.0
90,2004-002547-27,0,,,0,,1,2018-01-31,2018-01-31,2018-01-31,1,Journal,13472,2004-002547-27,2017-12-31,0,1076.0,1076.0,31.0
91,2011-000947-26,1,2016-10-07,NCT01232595,0,,0,,2016-10-07,2016-10-07,1,EUCTR,19577,2011-000947-26,2013-07-17,0,1178.0,2704.0,2704.0
92,2008-003839-20,1,2017-01-05,NCT00907764,0,,0,,2017-01-05,2017-01-05,1,EUCTR,3320,2008-003839-20,2010-04-29,0,2443.0,3879.0,3879.0
93,2016-002531-15,1,2019-08-22,,0,,0,,2019-08-22,2019-08-22,1,EUCTR,18945,2016-002531-15,2018-06-07,0,441.0,918.0,918.0
